sample_id	data_type
SRR33531297	run
SRR33531298	run
SRR33531299	run
SRR33531300	run
SRR33531301	run
SRR33531302	run
SRR33531303	run
SRR33531304	run
SRR33531305	run
SRR33531306	run
SRR33531307	run
SRR33531308	run
SRR33531309	run
SRR33531310	run
SRR33531311	run
SRR33531312	run
SRR33531313	run
SRR33531314	run
SRR33531315	run
SRR33531316	run
SRR33531317	run
SRR33531318	run
SRR33531319	run
SRR33531320	run
SRR33531321	run
SRR33531322	run
SRR33531323	run
SRR33531324	run
SRR33531325	run
SRR33531326	run
SRR33531327	run
SRR33531328	run
SRR33531329	run
SRR33531330	run
SRR33531331	run
SRR33531332	run
SRR33531333	run
SRR33531334	run
SRR33531335	run
SRR33531336	run
SRR33531337	run
SRR33531338	run
SRR33531339	run
SRR33531340	run
SRR33531341	run
SRR33531342	run
SRR33531343	run
SRR33531344	run
SRR33531345	run
SRR33531346	run
SRR33531347	run
SRR33531348	run
SRR33531349	run
SRR33531350	run
SRR33531351	run
SRR33531352	run
SRR33531353	run
SRR33531354	run
SRR33531355	run
SRR33531356	run
SRR33531357	run
SRR33531358	run
SRR33531359	run
SRR33531360	run
SRR33531361	run
SRR33531362	run
SRR33531363	run
SRR33531364	run
SRR33531365	run
SRR33531366	run
SRR33531367	run
SRR33531368	run
SRR33531369	run
SRR33531370	run
SRR33531371	run
SRR33531372	run
SRR33531373	run
SRR33531374	run
SRR33531375	run
SRR33531376	run
SRR33531377	run
SRR33531378	run
SRR33531379	run
SRR33531380	run
SRR33531381	run
SRR33531382	run
SRR33531383	run
SRR33531384	run
SRR33531385	run
SRR33531386	run
SRR33531387	run
SRR33531388	run
SRR33531389	run
SRR33531390	run
SRR33624002	run
SRR33624003	run
SRR33624004	run
SRR33624005	run
SRR33624006	run
SRR33624007	run
SRR33624008	run
SRR33624009	run
SRR33624010	run
SRR33624011	run
SRR33624012	run
SRR33624013	run
SRR33624014	run
SRR33624015	run
SRR33624016	run
SRR33624017	run
SRR33624018	run
SRR33624019	run
SRR33624020	run
SRR33624021	run
SRR33624022	run
SRR33624023	run
SRR33624024	run
SRR33624025	run
SRR33624026	run
SRR33624027	run
SRR33624028	run
SRR33624029	run
SRR33624030	run
SRR33624031	run
SRR33624032	run
SRR33624033	run
SRR33624034	run
SRR33624035	run
SRR33624036	run
SRR33624037	run
SRR33624038	run
SRR33624039	run
SRR33624040	run
SRR33624041	run
SRR33624042	run
SRR33624043	run
SRR33624044	run
SRR33624045	run
SRR33624046	run
SRR33624047	run
SRR33624048	run
SRR33624049	run
SRR33624050	run
SRR33624051	run
SRR33624052	run
SRR33624053	run
SRR33624054	run
SRR33624055	run
SRR33624056	run
SRR33624057	run
SRR33624058	run
SRR33624059	run
SRR33624060	run
SRR33624061	run
SRR33624062	run
SRR33624063	run
SRR33624064	run
SRR33624065	run
SRR33624066	run
SRR33624067	run
SRR33624068	run
SRR33624069	run
SRR33624070	run
SRR33624071	run
SRR33624072	run
SRR33624073	run
SRR33624074	run
SRR33624075	run
SRR33624076	run
SRR33624077	run
SRR33624078	run
SRR33624079	run
SRR33624080	run
SRR33624081	run
SRR33624082	run
SRR33624083	run
SRR33624084	run
SRR33624085	run
SRR33624086	run
SRR33624087	run
SRR33624088	run
SRR33624089	run
SRR33624090	run
SRR33624091	run
SRR33624092	run
SRR33624093	run
SRR33624094	run
SRR33624095	run
SRR33624096	run
SRR33624097	run
SRR33624098	run
SRR33624099	run
SRR33624100	run
SRR33624101	run
SRR33624102	run
SRR33624103	run
SRR33624104	run
SRR33624105	run
SRR33624106	run
SRR33624107	run
SRR33624108	run
SRR33624109	run
SRR33624110	run
SRR33624111	run
SRR33624112	run
SRR33624113	run
SRR33624114	run
SRR33624115	run
SRR33624116	run
SRR33624117	run
SRR33624118	run
SRR33624119	run
SRR33624120	run
SRR33624121	run
SRR33624122	run
SRR33624123	run
SRR33624124	run
SRR33624125	run
SRR33624126	run
SRR33624127	run
SRR33624128	run
SRR33624129	run
SRR33624130	run
SRR33624131	run
SRR33624132	run
SRR33624133	run
SRR33624134	run
SRR33624135	run
SRR33624136	run
SRR33624137	run
SRR33624138	run
SRR33624139	run
SRR33624140	run
SRR33624141	run
SRR33624142	run
SRR33624143	run
SRR33624144	run
SRR33624145	run
SRR33624146	run
SRR33624147	run
SRR33624148	run
SRR33624149	run
SRR33624150	run
SRR33624151	run
SRR33789509	run
SRR33789510	run
SRR33789511	run
SRR33789512	run
SRR33789513	run
SRR33789514	run
SRR33789515	run
SRR33789516	run
SRR33789517	run
SRR33789518	run
SRR33789519	run
SRR33789520	run
SRR33789521	run
SRR33789522	run
SRR33789523	run
SRR33789524	run
SRR33789525	run
SRR33789526	run
SRR33789527	run
SRR33789528	run
SRR33789529	run
SRR33789530	run
SRR33789531	run
SRR33789532	run
SRR33789533	run
SRR33789534	run
SRR33789535	run
SRR33789536	run
SRR33789537	run
SRR33789538	run
SRR33789539	run
SRR33789540	run
SRR33789541	run
